"ID","WOWID","LATITUDE","LONGITUDE","ALTITUDE"
"GARMON01","b1f9850c-d686-e911-80e7-0003ff59889d","50.8710","4.694","21"
"GARMON002","83a89aa6-2695-e911-80e7-0003ff59883f","50.8468","4.756","47"
"GARMON003","2a3596b2-2795-e911-80e7-0003ff59889d","50.8700","4.728","44"
"GARMON004","7d43d8ab-2895-e911-80e7-0003ff59883f","50.8708","4.685","31"
"GARMON005","3f67b310-5597-e911-80e7-0003ff59883f","50.8814","4.713","26"
"GARMON006","a4378238-ea95-e911-80e7-0003ff59889d","50.9123","4.716","13"
"GARMON007","624022c3-20aa-e911-b083-0003ff59a71f","50.8691","4.705","37"
"GARMON008","e9a45d8e-2995-e911-80e7-0003ff59883f","50.8748","4.663","51"
"GARMON009","3b54a9fd-5796-e911-80e7-0003ff59889d","50.8711","4.714","38"
"GARMON010","f2afb93b-509a-e911-80e7-0003ff59883f","50.8781","4.747","54"
"GARMON011","9a496c8c-2397-e911-80e7-0003ff59883f","50.8601","4.691","45"
"GARMON012","db0c2378-2a97-e911-80e7-0003ff59883f","50.8905","4.728","23"
"GARMON013","b907dc03-4398-e911-80e7-0003ff59889d","50.9280","4.721","12"
"GARMON014","0035f568-ee98-e911-80e7-0003ff59889d","50.8769","4.711","34"
"GARMON016","42ab3921-7b99-e911-80e7-0003ff59889d","50.8808","4.737","34"
"GARMON019","868a3034-21aa-e911-b083-0003ff59a71f","50.9241","4.712","11"
"GARMON021","51030a7b-329b-e911-80e7-0003ff59883f","50.8848","4.696","17"
"GARMON022","0bb1cdf5-339b-e911-80e7-0003ff59883f","50.8873","4.694","44"
"GARMON023","d61d86c7-fee8-e911-b862-0003ff599e2a","50.9046","4.699","20"
"GARMON028","51e4ee68-0baa-e911-b083-0003ff59a71f","50.8510","4.691","47"
"GARMON029","909f5ef3-0baa-e911-b083-0003ff59a71f","50.8838","4.688","42"
"GARMON030","608c8d8a-0caa-e911-b083-0003ff598cc1","50.8618","4.654","28"
"GARMON031","53739015-0daa-e911-b083-0003ff598cc1","50.8575","4.705","49"
"GARMON032","e8c462b5-0daa-e911-b083-0003ff598cc1","50.8813","4.695","18"
"GARMON033","d7acd53a-0eaa-e911-b083-0003ff598cc1","50.8834","4.724","27"
"GARMON034","3bad7ab1-0eaa-e911-b083-0003ff59a71f","50.8924","4.692","49"
"GARMON036","b3a3bd44-0faa-e911-b083-0003ff598cc1","50.8774","4.689","20"
"GARMON037","7175aad0-0faa-e911-b083-0003ff598cc1","50.8743","4.706","35"
"GARMON038","d6620b49-11aa-e911-b083-0003ff59a71f","50.8730","4.695","20"
"GARMON039","cbbcf2bf-11aa-e911-b083-0003ff59a71f","50.8732","4.694","19"
"GARMON040","abf8fd34-12aa-e911-b083-0003ff59a71f","50.8897","4.661","73"
"GARMON041","75557f78-13aa-e911-b083-0003ff59a71f","50.8745","4.695","18"
"GARMON042","b3d83bed-13aa-e911-b083-0003ff598cc1","50.8822","4.685","38"
"GARMON043","0f28a170-14aa-e911-b083-0003ff59a71f","50.8679","4.748","57"
"GARMON044","dc1a71ef-14aa-e911-b083-0003ff59a71f","50.8842","4.713","21"
"GARMON045","10e62476-15aa-e911-b083-0003ff598cc1","50.9315","4.681","15"
"GARMON046","6f8f4b7d-16aa-e911-b083-0003ff598cc1","50.8656","4.695","28"
"GARMON047","4b600906-17aa-e911-b083-0003ff598cc1","50.8735","4.683","36"
"GARMON048","e7cf6977-17aa-e911-b083-0003ff59a71f","50.8866","4.730","27"
"GARMON049","e6814ae1-17aa-e911-b083-0003ff598cc1","50.8875","4.701","16"
"GARMON051","f5d41520-1caa-e911-b083-0003ff598cc1","50.8938","4.711","14"
"GARMON052","6ee6cc9e-1caa-e911-b083-0003ff59a71f","50.8849","4.729","28"
"GARMON053","9c9f442d-1daa-e911-b083-0003ff59a71f","50.8828","4.699","18"
"GARMON054","d27793a4-1daa-e911-b083-0003ff598cc1","50.8871","4.740","32"
"GARMON056","efc655a0-1eaa-e911-b083-0003ff598cc1","50.8752","4.721","37"
"GARMON057","99238617-1faa-e911-b083-0003ff598cc1","50.8979","4.703","23"
"GARMON059","22c40c05-20aa-e911-b083-0003ff59a71f","50.8966","4.731","21"
"GARMON060","c0173619-fbad-e911-b083-0003ff598cc1","50.8615","4.713","33"
"GARMON061","9c46fae7-7faf-e911-b083-0003ff598cc1","50.8748","4.730","43"
"GARMON062","3966f1c3-a6b0-e911-b083-0003ff59a71f","50.8833","4.669","62"
"GARMON063","67c0638e-a7b0-e911-b083-0003ff598cc1","50.9021","4.678","30"
"GARMON064","898babd6-85b0-e911-b083-0003ff59a71f","50.8474","4.789","58"
"GARMON065","4c17ff37-a8b0-e911-b083-0003ff59a71f","50.8708","4.701","33"
"GARMON066","a7ae2bde-770c-ea11-b265-0003ff5990ac","50.8639","4.718","25"
"GARMON067","d45fd268-58d1-e911-b3ba-0003ff59b0d7","50.8799","4.697","18"
"GARMON068","2adb937b-00e9-e911-b862-0003ff599e2a","50.8836","4.705","17"
"GARMON069","36780e1e-2406-ea11-b862-0003ff599e2a","50.8798","4.676","54"
"GARMON070","b35ff0d3-2406-ea11-b862-0003ff59ab13","50.8785","4.675","52"
"GARMON071","1671974c-6dbc-e911-b083-0003ff59a71f","50.9021","4.678","30"
"GARMON072","95148b16-58c6-e911-b083-0003ff598cc1","50.8765","4.687","31"
"GARMON073","fa9cc61f-19f7-e911-b862-0003ff59ab13","50.8484","4.734","64"
"GARMON074","1a9a7c0d-59c6-e911-b083-0003ff59a71f","50.8725","4.733","57"
"GARMON075","396db4c2-59c6-e911-b083-0003ff59a71f","50.8819","4.718","31"
"GARMON076","e061b43e-5ac6-e911-b083-0003ff59a71f","50.8863","4.689","48"
"GARMON077","dc0423dc-5ac6-e911-b083-0003ff59a71f","50.8630","4.710","31"
"GARMON078","e3f3b8b7-5bc6-e911-b083-0003ff59a71f","50.8874","4.745","30"
"GARMON080","cbeea844-5cc6-e911-b083-0003ff59a71f","50.9373","4.677","12"
"GARMON081","6415f9d1-5cc6-e911-b083-0003ff598cc1","50.8556","4.677","32"
"GARMON082","07068d7d-08c8-e911-b083-0003ff59a71f","50.8695","4.722","40"
"GARMON083",,"50.8839","4.708","16"
"GARMON084","66bacf41-09c8-e911-b083-0003ff59a71f","50.8909","4.724","22"
"GARMON085","19d9c02e-a7cc-e911-b3ba-0003ff59b0d7","50.8773","4.723","37"
"GARMON086","a9544dd5-a7cc-e911-b3b9-0003ff59a783","50.8582","4.700","43"
"GARMON087","91cb6a61-a8cc-e911-b3ba-0003ff59b0d7","50.8722","4.701","37"
"GARMON088","32515bfb-55d1-e911-b3b9-0003ff59a783","50.9007","4.736","30"
"GARMON089","783e7b8e-56d1-e911-b3b9-0003ff59a783","50.8940","4.776","44"
"GARMON090","aa14b71b-57d1-e911-b3b9-0003ff59a783","50.8661","4.712","29"
"GARMON091","5caca4a8-57d1-e911-b3b9-0003ff59a783","50.8788","4.704","30"
"GARMON092","1fe3ed8f-13f4-e911-b862-0003ff59ab13","50.8691","4.711","41"
"GARMON093","84c22d49-14f4-e911-b862-0003ff59ab13","50.8963","4.708","15"
"GARMON094","3fe596f9-14f4-e911-b862-0003ff59ab13","50.8820","4.702","18"
"GARMON095","e9585fe4-15f4-e911-b862-0003ff599e2a","50.8686","4.697","23"
"GARMON096","ca07a794-16f4-e911-b862-0003ff599e2a","50.8848","4.679","63"
"GARMON097","695a9b3e-17f4-e911-b862-0003ff59ab13","50.8667","4.710","35"
"GARMON098","8129b305-18f4-e911-b862-0003ff59ab13","50.8821","4.703","25"
"GARMON099","44b03e97-18f4-e911-b862-0003ff59ab13","50.8814","4.715","25"
"GARMON100","2ca6ee8e-bad2-ec11-bea1-0003ff597300","50.8584","4.680","30"
"GARMON101",,"50.8873","4.721","22"
"GARMON102","f5ab9e3d-c688-ea11-99e5-0003ff59b198","50.8782","4.701","27"
"GARMON103","23cb50b2-6aa2-ea11-8b71-0003ff59b0d7","50.9993","4.663","12"
"GARMON104","de6a44f1-cfba-ea11-bf21-0003ff59a56f","50.8774","4.689","20"
"GARMON105","876ae484-d2ba-ea11-bf21-0003ff5982ee","50.8799","4.700","20"
"GARMON106","cb52f9ca-d4ba-ea11-bf21-0003ff59a5e1","50.8784","4.707","31"
"GARMON107","e254ac27-d6ba-ea11-bf21-0003ff5982ee","50.8743","4.706","35"
"GARMON108","7e00d24d-64ca-ea11-bf21-0003ff59b17b","50.8725","4.696","24"
"GARMON109","b33a5875-65ca-ea11-bf21-0003ff59b17b","50.8732","4.699","37"
"GARMON110","add88030-66ca-ea11-bf21-0003ff59a78c","50.8732","4.703","38"
"GARMON111","f402270e-67ca-ea11-bf22-0003ff59a5e1","50.8774","4.709","34"
"GARMON112","292e10bc-69ca-ea11-bf21-0003ff59b17b","50.8747","4.701","42"
